7005.1,18.54
9340.1,10.676
9340.1,20.115
7005.1,11.309
14010,24.447
7005.1,18.269
7005.1,14.468
18680,24.837
14010,15.241
16345,20.261
14010,22.12
7005.1,16.621
11675,15.541
9340.1,17.914
14010,16.779
7005.1,20.17
14010,19.065
23350,21.329
9340.1,19.312
14010,19.538
7005.1,19.151
14010,23.257
9340.1,17.21
7005.1,19.971
7005.1,19.904
9340.1,13.627
11675,14.949
16345,16.198
7005.1,14.734
14010,28.62
11675,19.69
11675,22.593
9340.1,19.398
9340.1,16.959
16345,17.704
7005.1,14.834
16345,18.73
9340.1,18.215
4670.1,10.266
14010,19.563
11675,21.494
9340.1,18.991
11675,25.09
14010,15.004
4670.1,19.692
9340.1,20.363
7005.1,16.257
7005.1,16.92
9340.1,19.452
11675,16.153
11675,17.373
11675,24.756
9340.1,16.952
9340.1,21.245
11675,20.997
9340.1,16.308
11675,18.837
7005.1,15.417
7005.1,14.95
2335,18.952
14010,13.407
9340.1,18.888
9340.1,15.559
11675,18.051
7005.1,13.846
7005.1,11.968
9340.1,17.595
7005.1,18.37
14010,21.685
14010,21.742
16345,25.65
18680,21.315
16345,12.224
9340.1,14.159
9340.1,18.155
14010,18.78
7005.1,17.977
14010,21.952
16345,21.304
16345,14.861
14010,20.06
9340.1,11.903
14010,12.709
4670.1,16.632
4670.1,19.177
2335,17.808
7005.1,13.719
16345,16.052
11675,20.473
14010,24.516
16345,15.387
7005.1,19.009
18680,22.125
4670.1,23.398
7005.1,22.398
9340.1,16.114
14010,19.328
18680,23.568
11675,18.423
16345,27.753
